Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
423_1,50,51,50,50,51,50,50,50,50,51,51,50,50,51,51,51,51,51,51,50,51,53,54,54,51,51,49,,,
424_0,62,62,62,63,62,62,62,62,63,63,62,63,63,62,64,63,63,63,63,64,63,67,72,72,61,61,60,,,
424_1,48,48,49,49,48,49,49,49,50,50,48,49,50,48,49,50,50,49,49,50,50,53,56,56,50,51,49,,,
425_0,59,59,59,59,59,59,58,57,59,59,59,59,58,59,59,60,59,59,60,59,60,63,64,65,66,68,68,,,
425_1,45,45,45,47,45,45,46,45,46,45,45,46,46,45,46,45,48,46,46,46,47,52,51,54,55,56,55,,,
426_0,44,48,44,44,41,40,42,39,42,44,41,42,41,41,42,44,45,48,48,41,43,48,48,50,53,54,54,,,
426_1,36,38,36,36,36,36,36,35,33,32,34,32,33,33,33,37,38,39,40,37,33,38,39,42,45,45,45,,,
427_0,78,79,79,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,83,86,87,70,68,67,,,
427_1,52,51,52,51,51,51,51,51,52,51,51,51,52,52,52,52,52,52,52,52,52,56,59,59,52,52,52,,,
428_0,66,66,66,66,66,66,66,65,66,67,66,66,66,66,67,67,67,67,66,67,67,70,74,74,64,62,62,,,
428_1,51,51,52,51,52,51,53,51,52,52,51,51,52,52,52,52,52,52,52,52,53,55,58,58,53,53,53,,,
429_0,58,58,58,58,58,58,57,57,58,57,57,57,57,58,58,58,57,57,57,58,57,59,60,60,65,65,64,,,
429_1,46,46,47,47,47,47,46,46,47,46,47,46,46,47,47,47,47,47,47,47,46,49,49,50,53,53,52,,,
430_0,70,71,70,71,71,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,73,74,75,66,66,66,,,
430_1,55,55,55,55,55,55,55,55,55,55,55,56,55,56,56,56,55,55,55,55,55,59,59,60,56,56,57,,,
431_0,77,78,77,76,77,78,78,75,78,78,78,78,76,78,76,78,77,78,77,78,79,80,84,85,69,66,66,,,
431_1,53,53,52,52,53,52,53,52,52,54,52,52,53,53,52,53,52,53,52,53,54,55,58,59,54,53,54,,,
432_0,71,71,71,70,70,70,71,70,70,71,72,71,71,71,71,72,71,72,71,72,72,75,77,78,68,67,66,,,
432_1,50,50,51,50,50,50,51,50,50,50,51,51,51,51,51,52,51,52,50,52,51,55,56,56,51,51,51,,,
433_0,75,75,75,74,75,75,75,75,76,75,75,75,76,75,76,75,76,75,75,75,76,80,81,80,68,69,71,,,
433_1,58,57,58,58,58,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,58,63,63,63,58,60,62,,,
434_0,84,83,83,83,83,83,83,83,83,83,84,83,83,84,83,83,83,83,83,84,83,87,87,86,71,72,73,,,
434_1,54,54,54,54,54,54,54,54,55,55,54,54,54,55,54,54,54,55,54,54,54,58,58,58,53,56,57,,,
435_0,74,74,73,73,73,73,74,73,75,74,74,74,74,75,75,74,75,74,75,74,75,79,80,78,68,69,70,,,
435_1,56,57,56,56,56,56,57,57,57,57,57,57,56,57,57,56,57,57,57,57,58,61,62,61,55,57,58,,,
436_0,78,78,78,78,79,79,79,79,79,79,79,80,79,79,79,79,79,79,79,79,79,83,84,84,71,73,74,,,
436_1,55,55,55,56,56,56,55,56,56,56,56,56,56,56,55,56,56,56,55,56,55,61,61,61,54,58,59,,,
437_0,68,71,71,72,63,70,72,72,62,69,70,70,70,67,70,71,71,66,70,71,71,70,75,76,65,67,67,,,
437_1,54,55,55,56,51,55,55,55,50,55,55,54,55,54,55,55,55,54,55,55,55,56,59,59,56,58,59,,,
438_0,77,77,78,78,77,78,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,79,79,78,69,69,70,,,
438_1,59,59,60,59,59,60,60,59,59,59,58,59,59,59,59,59,59,59,59,59,60,62,62,61,57,57,59,,,
439_0,81,81,81,81,81,81,81,81,80,80,80,80,80,81,81,81,81,81,81,81,82,86,87,88,71,71,73,,,
439_1,60,60,60,60,60,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,65,65,65,59,60,63,,,
440_0,71,71,71,71,71,72,70,69,70,72,70,70,68,71,71,70,71,70,69,70,70,73,73,70,72,73,72,,,
440_1,84,84,84,84,84,83,83,84,84,84,84,84,84,84,84,83,83,83,83,84,84,86,87,87,75,75,74,,,
